,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
11521,7oTDuYHa8B8M6MpfR68oGy,Honky Tonk Train Blues,21,178000,0,"['Meade ""Lux"" Lewis']",['7MiRMD4od8lrhJ8sd0etP0'],1937-01-01,0.528,0.563,7,-11.339,1,0.04,0.985,0.878,0.15,0.941,170.642,4
28507,5z2Gef9D3UgRquZXe7UUW4,"Shake, Rattle And Roll",54,149467,0,['Bill Haley & His Comets'],['3MFp4cYuYtTZe3d3xkLLbr'],1955-12-19,0.662,0.794,5,-6.942,1,0.152,0.20600000000000002,0.0,0.149,0.841,168.106,3
28584,0cotcRQqB9Q8Ubg3tcjUHt,Mambo Rock,32,157160,0,['Bill Haley & His Comets'],['3MFp4cYuYtTZe3d3xkLLbr'],1955-12-19,0.606,0.752,0,-7.986000000000001,1,0.4,0.365,0.0,0.305,0.77,169.263,4
28598,5hVXLeTqTaeG37SsNVI66L,Razzle Dazzle,30,161640,0,['Bill Haley & His Comets'],['3MFp4cYuYtTZe3d3xkLLbr'],1955-12-19,0.5529999999999999,0.8490000000000001,0,-7.086,1,0.1,0.5329999999999999,0.0,0.094,0.9079999999999999,171.25900000000001,4
28656,1TDBNqttJM7N5jOFjDAOy6,Birth Of The Boogie,26,134360,0,['Bill Haley & His Comets'],['3MFp4cYuYtTZe3d3xkLLbr'],1955-12-19,0.613,0.8859999999999999,10,-6.1160000000000005,1,0.307,0.23199999999999998,0.0,0.0956,0.782,175.894,4
29564,1XRA4Tjb2YrcQU5ThDllCw,The Battle Of New Orleans,44,152067,0,['Johnny Horton'],['1bBZcz4jP7CoPlqpCFh4gz'],1956,0.703,0.753,9,-11.783,1,0.135,0.8029999999999999,0.0,0.0997,0.9209999999999999,177.162,4
29572,7s8spWIA65WP6vG18bXDP1,The Train Kept A Rollin',43,139453,0,"[""Johnny Burnette & The Rock 'N' Roll Trio""]",['1neKWNZP74NEuvHZmvMS58'],1956-12-12,0.56,0.7070000000000001,9,-7.556,1,0.0686,0.6970000000000001,0.0,0.305,0.9620000000000001,167.36,4
29584,65jCri0OAHmc9Rz8K2i7IZ,Paralyzed,41,143760,0,['Elvis Presley'],['43ZHCT0cAZBISjO8DG9PnE'],1956-10-19,0.518,0.53,2,-10.722999999999999,1,0.0353,0.868,0.00464,0.0986,0.9309999999999999,175.933,4
29617,7AFel5zA2H9UDWmsGQD2zP,El Muñeco De La Ciudad,37,186667,0,"['La Sonora Matancera', 'Nelson Pinedo']","['01p7Homi0d4XxZ06f2NYYD', '68YsvVAGVdlaJpk5sA21pq']",1956-01-01,0.532,0.5379999999999999,2,-10.912,1,0.0496,0.332,0.00047699999999999994,0.23600000000000002,0.8959999999999999,181.418,3
29762,4dkrqvsEqNSpciVBHobLBR,Sweet Love On My Mind,28,146587,0,"[""Johnny Burnette & The Rock 'N' Roll Trio""]",['1neKWNZP74NEuvHZmvMS58'],1956-12-12,0.636,0.564,9,-7.468999999999999,1,0.0388,0.843,1.9399999999999997e-05,0.267,0.887,173.95,4
