,id,name,popularity,artists,release_date,danceability,energy,loudness,mode,speechiness,acousticness,valence,tempo
1578,4ZJfvcNipDhvwQIkQJbawm,"Sigurd, Acte 2: ""Le Bruit Des Chants""",0.0,['Georges Thill'],1925-01-01,0.303,0.0804,-18.646,1.0,0.0501,0.927,0.125,78.888
2095,0d2fUtiUl13rf6MneOldBR,"Oh Kay!: Do, Do, Do",2.0,"['George Gershwin', 'P. G. Wodehouse', 'Barbara Ruick', 'Jack Cassidy', 'Lehman Engel']",1926,0.316,0.0846,-21.605,0.0,0.042,0.9309999999999999,0.19699999999999998,71.14
3451,4JUVtlX8BZuc4JYvsVdpbb,Le barbier de Séville : Air de Rosine,0.0,"['Yvonne Brothier', 'Orchestre Georges Lauweryns', 'Georges Lauweryns']",1927,0.431,0.0673,-17.401,1.0,0.0484,0.9690000000000001,0.26899999999999996,100.27799999999999
3858,2P9nh9pTK96dE0b6NBbTSs,"Dark Was the Night, Cold Was the Ground",47.0,['Blind Willie Johnson'],1928,0.39399999999999996,0.0406,-23.179000000000002,1.0,0.044000000000000004,0.968,0.2,116.117
3931,49LHJe8RmY5ViMMQj0aMdb,(What Did I Do To Be So) Black And Blue,10.0,['Louis Armstrong'],1928,0.414,0.105,-14.907,1.0,0.0549,0.826,0.223,72.332
5678,0EaFtZLIFyfVZo2qAlUnvb,I Get Along Without You Very Well,0.0,['Robert Francis'],1930,0.52,0.0499,-18.504,0.0,0.043,0.9440000000000001,0.16399999999999998,116.915
5686,0GWlGCiSheLePYFfetDGvZ,Shomea kol bichyos,0.0,['Z.Kwartin'],1930,0.341,0.0346,-18.514,0.0,0.0411,0.9690000000000001,0.10400000000000001,70.42
5933,1HDpEMdJp1nzvEheZ9RQrS,Dancing On The Ceiling,0.0,['Andrea Wolper'],1930,0.473,0.0949,-15.277999999999999,1.0,0.0403,0.958,0.14300000000000002,98.678
5978,1TECWjg8iXL1Qwu3jc4HKc,Rendezvous In Providence,0.0,['Andrea Wolper'],1930,0.426,0.0947,-16.702,1.0,0.040999999999999995,0.893,0.146,123.194
6004,1XQn6SgVl84Wpyo2lJrT4f,Aires Nacionales. Triste No. 2,0.0,['Iván Rolón'],1930,0.408,0.00481,-30.628,1.0,0.0572,0.9540000000000001,0.16699999999999998,113.09299999999999
6109,1zs2e3x49MRN0CvodB1jvn,One for My Baby,4.0,['Marlene Dietrich'],1930,0.466,0.0891,-18.197,1.0,0.0472,0.9440000000000001,0.188,67.961
6260,2WL1iuorfNlQUkgSiYFOWV,"I Like You, You're Nice",0.0,['Andrea Wolper'],1930,0.46799999999999997,0.0379,-15.578,1.0,0.0492,0.963,0.11900000000000001,103.88
6444,3EMPnqbPpo34K1iUnghxP3,Fancy Our Meeting,4.0,['Al Bowlly'],1930,0.48100000000000004,0.0636,-16.684,1.0,0.0549,0.96,0.257,64.943
6568,0K2Lq2J80KmKCIuoVscS3Z,"Werther, Acte III: Werther est de retour",0.0,"['Ninon Vallin', 'Georges Thill', 'Germaine Féraldy', ""Chœur et Orchestre de l'Opéra de Paris"", 'Elie Cohen']",1931,0.27899999999999997,0.0486,-22.17,1.0,0.0515,0.932,0.142,80.27199999999999
