,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
12958,33epO6drRAdk6jWlwBkqC2,Goodbye,36,198400,0,['Benny Goodman'],['1pBuKaLHJlIlqYxQQaflve'],1939,0.248,0.18899999999999997,3,-13.594000000000001,0,0.0331,0.977,0.815,0.125,0.142,75.66199999999999,4
12967,1h5sxI29sMafAGuAM29VNh,Munchkinland,27,148467,0,"['MGM Studio Orchestra', 'MGM Studio Chorus']","['2EjrRJZBrUhYqcgmYF69N1', '5dmuBOlipco9YnYwCbN5PW']",1939-08-25,0.145,0.298,5,-18.885,0,0.0417,0.971,0.20199999999999999,0.322,0.0767,93.84,3
12984,3cUYbohqoZiWuXZRVuuQtE,I'm Not A Witch,24,51427,0,['MGM Studio Orchestra'],['2EjrRJZBrUhYqcgmYF69N1'],1939-08-25,0.233,0.0785,5,-23.715,0,0.0452,0.983,0.858,0.302,0.095,114.35700000000001,4
12991,30gjFPHLsQ2Es1n2pY6yoC,Good Fairy Vanishes,22,34427,0,['MGM Studio Orchestra'],['2EjrRJZBrUhYqcgmYF69N1'],1939-08-25,0.259,0.0509,8,-30.363000000000003,0,0.0344,0.898,0.188,0.21,0.0396,137.205,1
12996,0d9qJydfJNSTZBnWFochm9,Bees & Tin Woodman Lament - Partial Outtake,22,113133,0,['MGM Studio Orchestra'],['2EjrRJZBrUhYqcgmYF69N1'],1939-08-25,0.124,0.175,5,-22.098000000000003,0,0.0369,0.938,0.507,0.11699999999999999,0.14800000000000002,95.21,4
17699,3FLQXJfsKxY8aWmlFoNN2c,I'm a Fool to Want You - 78rpm Version,33,175493,0,['Frank Sinatra'],['1Mxqyy3pSjf8kZZL4QVxS0'],1944,0.23800000000000002,0.10300000000000001,3,-19.695999999999998,0,0.0336,0.932,0.000898,0.109,0.13,88.458,5
18563,4lftz0V8DZhWSVtL4GrzMH,I'll Be Home For Christmas,31,175173,0,['Bing Crosby'],['6ZjFtWeHP9XN7FeKSUe80S'],1945-01-01,0.223,0.146,4,-16.084,0,0.0321,0.281,0.0,0.256,0.17600000000000002,84.041,4
19557,7cIeuIIqOhHsHMpQYwASYH,"3 Waltzes, Op. 64: No. 2 in C-Sharp Minor",27,222413,0,"['Frédéric Chopin', 'Arthur Rubinstein']","['7y97mc3bZRFXzT2szRM4L4', '5N1GUHhFMRFFgMTjSOJDb9']",1946,0.276,0.0402,1,-31.471999999999998,0,0.0426,0.992,0.856,0.0782,0.175,76.02199999999999,4
19563,71PoAxxpXhJnr03oOMP6XZ,(I Don't Stand) a Ghost of a Chance (With You) - Remastered,23,189414,0,"['Frank Sinatra', 'Axel Stordahl Orchestra']","['1Mxqyy3pSjf8kZZL4QVxS0', '6omum8u3BMagUwg8RI2VhG']",1946-03-04,0.29600000000000004,0.11,4,-17.125,0,0.0392,0.9329999999999999,0.000172,0.151,0.109,127.99,1
19565,4LR9SdmYphruK92dtJOqyT,Try a Little Tenderness - Remastered,21,115384,0,"['Frank Sinatra', 'Axel Stordahl Orchestra']","['1Mxqyy3pSjf8kZZL4QVxS0', '6omum8u3BMagUwg8RI2VhG']",1946-03-04,0.355,0.0892,7,-17.555999999999997,0,0.0482,0.938,0.00256,0.494,0.177,85.456,4
