,id,name,popularity,artists,release_date,danceability,energy,loudness,mode,speechiness,acousticness,valence,tempo
1359,1zPmz3rh854RXIho4RYtWi,"Faust, Acte 3, Scène Et Duo Du Jardin, Fin (4ème Partie): ""Tête Folle, Tu Nous Écoutais!""",0.0,['Georges Thill'],1925-01-01,0.298,0.0436,-19.320999999999998,1.0,0.193,0.816,0.0543,76.279
1693,5ujf26yaDaWYNRkErHBofm,"Les Huguenots, Acte 1: ""Plus Blanche Que La Blanche Hermine""",0.0,['Georges Thill'],1925-01-01,0.26899999999999996,0.0962,-15.984000000000002,1.0,0.0702,0.991,0.11699999999999999,78.747
2999,0siOTxYah5UhSYEgeb6HY6,Cavalleria rusticana: Intermezzo sinfonico,2.0,"['Pietro Mascagni', 'Staatskapelle Berlin']",1927-01-01,0.204,0.142,-17.173,1.0,0.0481,0.929,0.0431,82.853
3198,2Q5F7d1RUHDMmCFpgBTyHV,Carmen : Acte III - C'est des contrebandiers (Air de Micaela),0.0,"['Orchestre Piero Coppola', 'Piero Coppola', 'Yvonne Brothier']",1927,0.249,0.0918,-16.977,0.0,0.0453,0.983,0.049,81.274
3328,3KD6IGlsy0OmvQ5EZVSGwf,Iris: Inno al sole,0.0,"['Pietro Mascagni', 'Staatskapelle Berlin']",1927-04-01,0.188,0.139,-18.602,1.0,0.0507,0.978,0.0387,74.178
3519,4mL3oaTRpG3wusDu4oiYd4,"Parsifal, WWV 111: Good Friday Music",2.0,"['Richard Wagner', 'Staatskapelle Berlin', 'Max von Schillings']",1927-01-01,0.136,0.145,-17.785,0.0,0.0423,0.976,0.0386,72.145
3877,1304PIuqEVZBveqAVJ7K6b,"Chopin: Nocturne No. 1 in B-Flat Minor, Op. 9 No. 1",19.0,"['Frédéric Chopin', 'Arthur Rubinstein']",1928,0.313,0.0215,-21.538,1.0,0.0441,0.9840000000000001,0.0675,75.829
3918,739ilst05HjyFKN08Y3TeE,"Chopin: Nocturne No. 4 in F Major, Op. 15 No. 1",12.0,"['Frédéric Chopin', 'Arthur Rubinstein']",1928,0.27399999999999997,0.0253,-20.313,1.0,0.0363,0.99,0.10099999999999999,81.955
3921,0yanoRKQsbN1vObKz3OQpU,"Chopin: Nocturne No. 13 in C Minor, Op. 48 No. 1",10.0,"['Frédéric Chopin', 'Arthur Rubinstein']",1928,0.295,0.0646,-21.6,1.0,0.0475,0.981,0.0589,74.429
3964,2NAjEPj7jEEKV3Kcu4EYWY,"Chopin: Nocturne No. 18 in E Major, Op. 62 No. 2",6.0,"['Frédéric Chopin', 'Arthur Rubinstein']",1928,0.301,0.0849,-18.984,0.0,0.0394,0.988,0.105,84.455
