,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
28507,5z2Gef9D3UgRquZXe7UUW4,"Shake, Rattle And Roll",54,149467,0,['Bill Haley & His Comets'],['3MFp4cYuYtTZe3d3xkLLbr'],1955-12-19,0.662,0.794,5,-6.942,1,0.152,0.20600000000000002,0.0,0.149,0.841,168.106,3
29564,1XRA4Tjb2YrcQU5ThDllCw,The Battle Of New Orleans,44,152067,0,['Johnny Horton'],['1bBZcz4jP7CoPlqpCFh4gz'],1956,0.703,0.753,9,-11.783,1,0.135,0.8029999999999999,0.0,0.0997,0.9209999999999999,177.162,4
30617,4WNEDjXbuCWnceZPOEkf0S,Jim Dandy,40,130947,0,['LaVern Baker'],['0V6zo2mJw9FdwWLClKC9yw'],1957,0.626,0.768,1,-7.925,1,0.19699999999999998,0.763,0.0,0.384,0.912,171.459,4
31623,4goByJ8dubc57qxiT7AH9p,Reelin' And Rockin',42,195187,0,['Chuck Berry'],['293zczrfYafIItmnmM3coR'],1958-03-01,0.615,0.721,0,-6.601,1,0.0531,0.812,0.0,0.0674,0.9490000000000001,170.85299999999998,4
31905,2YfDQbQJhIL40untMcU1K0,The Battle of New Orleans,28,150267,0,['Johnny Horton'],['1bBZcz4jP7CoPlqpCFh4gz'],1958,0.682,0.753,9,-10.863,1,0.0903,0.7390000000000001,0.0,0.0699,0.9259999999999999,179.805,4
32119,2x9MEAKtnPYsACL1vMoniU,Etcetera,23,147653,0,['Jackie Wilson'],['4VnomLtKTm9Ahe1tZfmZju'],1958,0.608,0.733,5,-6.847,1,0.18,0.595,0.0,0.266,0.925,163.256,4
32193,3dOA7vDCOA0rV6zsY2d0ZV,Cherokee Boogie,21,146760,0,['Johnny Horton'],['1bBZcz4jP7CoPlqpCFh4gz'],1958,0.603,0.7240000000000001,7,-9.869,1,0.17300000000000001,0.569,0.0,0.2,0.9420000000000001,164.524,4
34531,0dwpdcQkeZqpuoAPYD49N3,The Battle Of New Orleans,50,151627,0,['Johnny Horton'],['1bBZcz4jP7CoPlqpCFh4gz'],1961,0.703,0.7759999999999999,9,-10.982999999999999,1,0.139,0.764,0.0,0.0988,0.9209999999999999,177.283,4
36156,4zUNGG8ifOz8Oark53cwpZ,Ten Little Indians - Mono/Remastered 2001,25,89067,0,['The Beach Boys'],['3oDbviiivRWhXwIE8hxkVV'],1962-10-01,0.601,0.8320000000000001,9,-5.39,1,0.0367,0.6890000000000001,0.0,0.261,0.966,161.99,4
36171,0IFS7wHvqVkVF1LwUfVOh6,Tequila,24,167520,0,['The Ventures'],['2GaayiIs1kcyNqRXQuzp35'],1962-01-01,0.604,0.745,2,-12.390999999999998,1,0.0549,0.45899999999999996,0.636,0.0754,0.841,185.75599999999997,4
37483,2tb1DUqDQNunjAC9srqUyA,Noble Surfer - Remastered 2001,23,113827,0,['The Beach Boys'],['3oDbviiivRWhXwIE8hxkVV'],1963-03-25,0.68,0.86,0,-6.172000000000001,1,0.0499,0.626,2.3899999999999998e-05,0.302,0.9620000000000001,160.275,4
40454,7xa6ZG9Xwi0toCbrvgJllg,Quien Te Da Lo Que Te Daba,35,196360,0,['Los Iracundos'],['0xpMy6DeMBWX8zTURxB4h5'],1966,0.66,0.86,0,-6.382000000000001,1,0.0954,0.27399999999999997,0.0,0.35200000000000004,0.919,172.727,4
42401,5EFDXorJyUp61D2ZGpmsJz,Brazilian Flower,31,117000,0,['Jean-Jacques Perrey'],['09x9KmiHgFJgWySzkMRNGx'],1968,0.74,0.868,0,-8.535,1,0.0385,0.449,0.8140000000000001,0.0619,0.982,162.822,4
44084,0x61kbCcvC8WqSihmQMgdA,I'm A Rocker,40,275440,0,['Chuck Berry'],['293zczrfYafIItmnmM3coR'],1970-01-01,0.615,0.7829999999999999,2,-7.955,1,0.0392,0.73,0.00195,0.18899999999999997,0.96,161.083,4
45464,6gB156smUnYP9POmPfmtOV,Chelsea Morning,34,181720,0,"[""Sergio Mendes & Brasil '66""]",['6hCsqVHnBo1BVQWuIjRMkL'],1971-01-01,0.645,0.753,7,-7.966,1,0.0471,0.669,5.36e-05,0.151,0.924,167.79,4
45634,2aadUB2b4hugbdIPU8Aypk,Rockin' Robin,55,151933,0,['Michael Jackson'],['3fMbdgg4jU18AjLCKBhRSm'],1972-08-04,0.626,0.7040000000000001,10,-9.046,1,0.111,0.297,1.4800000000000002e-05,0.32299999999999995,0.968,173.27700000000002,4
45765,1vhlVbHnbKJPD7pqCC0cE7,Iko Iko,48,248560,0,['Dr. John'],['320TrJub4arztwXRm7kqVO'],1972,0.637,0.794,2,-10.152999999999999,1,0.0431,0.557,8.18e-05,0.344,0.97,165.428,4
