,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
46487,2Evi89iMO3vQMsGPMuSwhx,"Johnny B. Goode - Live Berkeley Community Center, Berkeley, CA May 30, 1970",35,283787,0,['Jimi Hendrix'],['776Uo845nYHJpNaStv1Ds4'],1972-02-01,0.201,0.855,6,-11.133,0,0.14400000000000002,0.0136,0.000206,0.7,0.373,173.199,4
49492,5QTxFnGygVM4jFQiBovmRo,(Don't Fear) The Reaper,77,308120,0,['Blue Öyster Cult'],['00tVTdpEhQQw1bqdu8RCx2'],1976,0.33299999999999996,0.927,9,-8.55,0,0.0733,0.0029,0.00020800000000000001,0.297,0.385,141.466,4
50262,3LmVNym79jPeDKOuIHte4T,Čardáš dvoch sŕdc,39,210347,0,['Karol Duchoň'],['7t9Ee452yVH58xneswOHNH'],1976-01-01,0.39299999999999996,0.87,11,-6.327000000000001,0,0.124,0.0838,3.53e-05,0.22399999999999998,0.368,146.509,4
50789,55TeO50ytH96i93yihdNJE,New Rose,49,162240,0,['The Damned'],['6VeL8VhaMjHTPc5uovFl3h'],1977-02-18,0.19,0.9640000000000001,1,-7.711,0,0.10099999999999999,0.00549,3.929999999999999e-05,0.33,0.295,173.578,4
51416,6TQfDTuB2ec7ID9gDyq4xU,"Detroit Rock City - Live At The Forum, Los Angeles/1977",37,237560,0,['KISS'],['07XSN3sPlIlB2L2XNcTwJw'],1977-10-14,0.289,0.987,0,-5.955,0,0.11599999999999999,0.0519,0.429,0.371,0.158,187.80900000000003,4
51927,3aSkG0OjXtRYl289fgN7mV,Top of the Bill - Live / 2015 Remaster,46,407333,0,['Scorpions'],['27T030eWyCQRmDyuvr1kxY'],1978-08-01,0.365,0.897,3,-6.12,0,0.132,0.0041600000000000005,0.648,0.9329999999999999,0.243,141.899,4
53148,4Iy7RJ8dBBfWY1Acm4QmAf,Lay It on the Line,42,245773,0,['Triumph'],['4YfnJEbTz8QLD5FusYFwV6'],1979-03-30,0.25,0.872,9,-5.46,0,0.109,0.0315,2.47e-06,0.10099999999999999,0.38799999999999996,183.03799999999998,4
53495,6EPRKhUOdiFSQwGBRBbvsZ,Ace of Spades,75,166920,0,['Motörhead'],['1DFr97A9HnbV3SKTJFu62M'],1980-11-08,0.32899999999999996,0.9740000000000001,3,-8.77,0,0.135,0.000852,0.000118,0.0904,0.23399999999999999,140.862,4
53754,3D8KAebbZgAFdVjTrsNgOI,Race with the Devil,51,171960,0,['Girlschool'],['2TRtXTjjmyzK5oUGec1Gv8'],1980-06-30,0.21,0.882,0,-6.942,0,0.111,0.00023799999999999998,0.6709999999999999,0.318,0.32899999999999996,169.75799999999998,4
53905,79q7xFOodcfIVbpNHjE2gB,Highway Star,48,367947,0,['Deep Purple'],['568ZhdwyaiCyOGJRtNYhWf'],1980,0.252,0.8740000000000001,9,-6.596,0,0.0602,0.00307,0.013999999999999999,0.122,0.377,172.804,4
54027,5rmrkIsEaff7cwtMNKNrMP,Fast and Loose,45,200533,0,['Motörhead'],['1DFr97A9HnbV3SKTJFu62M'],1980-11-08,0.251,0.986,6,-5.36,0,0.168,0.0483,0.000404,0.364,0.168,141.864,4
54070,4yrlxrNLkM9jVgy8dk04ZZ,Fools - 2015 Remaster,44,356291,0,['Van Halen'],['2cnMpRsOVqtPMfq7YiFE6K'],1980-03-26,0.223,0.966,1,-6.693,0,0.11900000000000001,0.00943,0.00146,0.353,0.175,166.737,4
54792,7sicPw7V9SYJl3Zjme9i4p,Heading Out to the Highway,48,225533,0,['Judas Priest'],['2tRsMl4eGxwoNabM08Dm4I'],1981,0.444,0.922,11,-4.519,0,0.0529,0.00635,0.0,0.305,0.301,140.20600000000002,4
54920,1lwW3ovgmnRIfqHnX1ghgU,Switch 625,45,183200,0,['Def Leppard'],['6H1RjVyNruCmrBEWRbD0VZ'],1981-07-11,0.311,0.9590000000000001,0,-7.191,0,0.0832,0.000523,0.875,0.15,0.0997,141.497,4
55181,3FjZqDdvzLk4Xttusx6ZhC,The Last Goodbye,40,169000,0,['Agent Orange'],['1pBsvSnrhmgDZqisT13SFA'],1981,0.244,0.919,11,-8.735,0,0.0699,0.0845,0.0,0.265,0.361,183.278,4
55423,5X3rnVMmOhbXtmeCUDy6KP,Walked in Line - 2007 Remaster,38,165973,0,['Joy Division'],['432R46LaYsJZV2Gmc4jUV5'],1981-10-08,0.293,0.975,9,-5.0,0,0.107,0.0132,0.981,0.321,0.361,166.136,4
55575,7yDrKl1J4VWNbR4aLU3qJ7,I Love It Loud,60,255427,0,['KISS'],['07XSN3sPlIlB2L2XNcTwJw'],1982-10-13,0.414,0.897,5,-6.406000000000001,0,0.0538,0.00040199999999999996,1.85e-06,0.0809,0.263,170.916,4
55999,69XavKC3TeE2qpOUJe1plf,All Hell Breaks Loose,44,106960,0,['Misfits'],['1cXi8ALPQCBHZbf0EgP4Ey'],1982,0.441,0.937,4,-11.575999999999999,0,0.0717,0.0354,0.0,0.0924,0.332,156.942,4
56397,4jTLlwHR9tn7dIFUScOwRi,Hear Nothing See Nothing Say Nothing,39,90227,0,['Discharge'],['5SRhOM75OnwuXH8BmCxD5a'],1982-05-21,0.203,0.946,3,-9.082,0,0.107,2.23e-06,0.648,0.113,0.371,154.437,4
56508,3vV3cr2TpPqFk07zxYUbla,Cum on Feel the Noize,71,290960,0,['Quiet Riot'],['1dLWg6m8RRhizsdqJbhyj3'],1983,0.409,0.92,11,-5.439,0,0.12,0.00719,0.00105,0.0823,0.37,145.085,4
56531,2E7W1X4maFFcjHrVrFA7Vs,Bark at the Moon,66,257120,0,['Ozzy Osbourne'],['6ZLTlhejhndI4Rh53vYhrY'],1983-12-10,0.303,0.961,9,-5.332999999999999,0,0.243,0.00253,6.2e-05,0.132,0.305,146.591,4
56621,38fIaph07Kd8ZIN6l17ZJs,Whiplash - Remastered,57,248547,1,['Metallica'],['2ye2Wgw4gimLv2eAKyk1NB'],1983-07-24,0.384,0.9159999999999999,4,-6.468,0,0.0983,0.000611,0.42200000000000004,0.14,0.192,158.042,4
56732,2620eph8P9p5FQ1oQWcWuk,Hit The Lights - Remastered,52,255867,0,['Metallica'],['2ye2Wgw4gimLv2eAKyk1NB'],1983-07-24,0.264,0.97,4,-5.526,0,0.205,4.79e-05,0.187,0.12,0.278,160.727,4
56869,4hh0IO5OHTigfnPTpDleL7,Hit The Lights - Remastered,48,255867,0,['Metallica'],['2ye2Wgw4gimLv2eAKyk1NB'],1983-07-24,0.264,0.97,4,-5.526,0,0.205,4.79e-05,0.187,0.12,0.278,160.727,4
56922,5R5b3EZkGsYsZz2XdUNrXI,Phantom Lord - Remastered,47,301293,0,['Metallica'],['2ye2Wgw4gimLv2eAKyk1NB'],1983-07-24,0.21,0.975,1,-5.3020000000000005,0,0.309,0.000733,0.0308,0.0873,0.129,159.384,4
57112,4MaTOuX0QlD6Tla2ig7X80,In Our Angelhood,43,179733,0,['Cocteau Twins'],['5Wabl1lPdNOeIn0SQ5A1mp'],1983-10-31,0.311,0.9620000000000001,1,-7.7989999999999995,0,0.0822,3.89e-06,0.929,0.33399999999999996,0.0333,151.142,4
57147,3rxP9Bbs4avXKbEDJqqwRA,Cold Sweat,42,186800,0,['Thin Lizzy'],['6biWAmrHyiMkX49LkycGqQ'],1983,0.254,0.89,6,-8.969,0,0.136,0.0005769999999999999,0.321,0.115,0.203,170.454,4
57338,4C74AnY1AehCfsDaoPfsGs,Metal Storm / Face the Slayer,40,293133,0,['Slayer'],['1IQ2e1buppatiN1bxUVkrk'],1983,0.13,0.857,9,-8.366,0,0.0678,1.7100000000000002e-05,0.563,0.105,0.161,166.231,4
57407,4bJqZ8SxtIBy88PdHu9tqw,Whiplash - Remastered,39,248547,1,['Metallica'],['2ye2Wgw4gimLv2eAKyk1NB'],1983-07-24,0.384,0.9159999999999999,4,-6.468,0,0.0983,0.000611,0.42200000000000004,0.14,0.192,158.042,4
57706,3rzYUfyzdZW96cHXnGn1xI,What Difference Does It Make? - 2011 Remaster,54,229867,0,['The Smiths'],['3yY2gUcIsjMr8hjo51PoJ8'],1984-02-20,0.38299999999999995,0.888,1,-6.502999999999999,0,0.037000000000000005,0.000492,0.000174,0.0479,0.39299999999999996,163.23,4
57710,0r8H7m8knNVn3iUXwQCnVo,Shot Through The Heart,54,265933,0,['Bon Jovi'],['58lV9VcRSjABbAbfWS6skp'],1984-01-01,0.435,0.9309999999999999,9,-5.055,0,0.0725,0.0418,0.000293,0.0846,0.387,153.475,4
57744,3s9QsxxTlcWcga9agSARTV,"Sultans Of Swing - Live At Hammersmith Odeon, London/1983",53,654307,0,['Dire Straits'],['0WwSkZ7LtFUFjGjMZBMt6T'],1984-03-14,0.349,0.941,2,-6.066,0,0.0712,0.0982,0.213,0.981,0.284,153.94,4
57944,7vEYpLe2jDmZTYg0zdPNoz,Maldito sea tu nombre,48,225387,0,['Ángeles Del Infierno'],['2qzYtiwABDEql4L7JpZ59Y'],1984,0.209,0.977,11,-4.224,0,0.168,0.000182,0.001,0.0574,0.106,182.675,4
58190,3897s4XOWQczz0a0FOEiJy,Black Coffee,44,295800,0,['Black Flag'],['5Mhs3Eu8lU6sRCtRYsmABV'],1984-12-01,0.287,0.8859999999999999,11,-10.937000000000001,0,0.0691,0.161,0.0175,0.34700000000000003,0.27899999999999997,163.245,4
58329,27BNAWiJgEi0anWjNXMaBJ,These Things Take Time - David Jensen Session 26/06/83,41,153973,0,['The Smiths'],['3yY2gUcIsjMr8hjo51PoJ8'],1984,0.36200000000000004,0.99,11,-4.893,0,0.289,0.0107,0.214,0.146,0.142,151.636,4
58394,4xQO8MVtFZOW2KJMBuAB2p,Into the Crypts of Rays,41,219173,0,['Celtic Frost'],['4ZISAmHmQUDCpv8xydqeKG'],1984-06-24,0.146,0.9620000000000001,11,-7.394,0,0.0763,1.84e-06,0.8759999999999999,0.59,0.26,169.56099999999998,4
