,id,name,popularity,artists,release_date,danceability,energy,loudness,mode,speechiness,acousticness,valence,tempo
15899,6v3KNFdsHbKWx98toitVh9,Do You Want/Need Action,0.0,['Local Oafs'],1941-06-06,0.0863,0.992,-3.1310000000000002,0.0,0.22699999999999998,0.0279,0.44,176.296
59282,6VuRx5yyACleleSGXzkrqG,Loco por Incordiar,41.0,['Rosendo'],1985-11-28,0.348,0.937,-3.699,0.0,0.0547,0.00268,0.45299999999999996,183.505
60131,3hetLCL51bTjUMRWYL8LSX,I Want Action,43.0,['Poison'],1986,0.466,0.9670000000000001,-2.795,0.0,0.0989,0.0042899999999999995,0.44799999999999995,147.036
61189,3XDkKF2P82Om5ZjAfxX2Y4,Eat the Rich,44.0,['Motörhead'],1987-09-05,0.247,0.993,-3.49,0.0,0.0862,0.00745,0.37,152.25
61702,0cK7vBvgmRQVJpqgNwehch,Alone with You - 2014 Remaster,53.0,['Sunnyboys'],1988-12-19,0.361,0.937,-3.179,0.0,0.0463,6.19e-05,0.39299999999999996,147.546
62469,5arVt2Wg0zbiWwAOZef2Nl,Higher Ground - Remastered,67.0,['Red Hot Chili Peppers'],1989-08-16,0.47600000000000003,0.9790000000000001,-3.5060000000000002,0.0,0.132,0.0014,0.41600000000000004,140.404
65992,1a42up3NBd91HTCbmYKMq4,Generator,50.0,['Bad Religion'],1992,0.298,0.975,-3.359,0.0,0.141,0.0009140000000000001,0.485,144.585
67134,2foNAckCzsyD0HJUbmhTZJ,Raw Power,48.0,"[""Guns N' Roses""]",1993-11-23,0.308,0.996,-3.3560000000000003,0.0,0.0817,0.0031899999999999997,0.375,181.331
73851,1zUEVcm4JFn4DOEKpndoNx,Be Free,2.0,['Water Rats'],2017-11-07,0.414,0.993,-3.968,0.0,0.18600000000000003,0.33399999999999996,0.374,181.963
75539,7nXq1vaZiz7PdbfojpPjW5,Fighter,70.0,['Christina Aguilera'],2002-07-19,0.435,0.92,-1.357,0.0,0.201,0.235,0.45,188.899
77499,2KFs8SMa0DzaBEbNrDOdbo,The New Disease - Remastered,21.0,['Everclear'],2004-01-01,0.395,0.971,-2.682,0.0,0.0992,0.000484,0.38,173.895
77729,47IWLfIKOKhFnz1FUEUIkE,A Boy Brushed Red Living In Black And White,63.0,['Underoath'],2004-01-01,0.419,0.932,-3.6039999999999996,0.0,0.106,0.0017100000000000001,0.445,169.88099999999997
78632,6y2DHyCYf6azhUfXmnuH6w,Question!,65.0,['System Of A Down'],2005-05-17,0.207,0.973,-3.21,0.0,0.185,0.0008300000000000001,0.364,180.683
79016,5OVHnu9SgsdAravy4UyGq4,Helicopter,60.0,['Bloc Party'],2005-02-02,0.47,0.9540000000000001,-3.6310000000000002,0.0,0.134,0.00015900000000000002,0.41200000000000003,170.1
